date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:49	173/173	---MC-	200	added ('OK')	text/plain	date:Mon,%2014%20Apr%202025%2010:20:23%20GMT	https://www.mavlers.com/robots.txt		(from )
15:47:51	234972/234972	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Apr%202025%2010:20:23%20GMT	https://www.mavlers.com/web-development-services/	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/index.html	(from )
15:47:52	149209/149209	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Apr%202025%2010:20:26%20GMT	https://www.mavlers.com/web-development-services/e,baseURI	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/e,baseURI	(from https://www.mavlers.com/web-development-services/)
15:47:54	149209/149209	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Apr%202025%2010:20:28%20GMT	https://www.mavlers.com/web-development-services/GET	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/GET	(from https://www.mavlers.com/web-development-services/)
15:47:55	149209/149209	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Apr%202025%2010:20:29%20GMT	https://www.mavlers.com/web-development-services/gtm.js?id=	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/gtm5445.js	(from https://www.mavlers.com/web-development-services/)
15:47:57	149209/149209	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Apr%202025%2010:20:31%20GMT	https://www.mavlers.com/web-development-services/t	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/t	(from https://www.mavlers.com/web-development-services/)
15:47:58	149209/149209	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Apr%202025%2010:20:31%20GMT	https://www.mavlers.com/web-development-services/Edge/	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/Edge/index.html	(from https://www.mavlers.com/web-development-services/)
15:47:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Apr%202025%2010:20:32%20GMT	https://www.mavlers.com/web-development-services/%22data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw==%22	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/_data_image/gif;base64,R0lGODlhAQABAIABAAAAAP/yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw==_	(from https://www.mavlers.com/web-development-services/)
15:48:00	149209/149209	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Apr%202025%2010:20:33%20GMT	https://www.mavlers.com/web-development-services/%22data:image/gif;base64,R0lGODlhAQABAIABAAAAAP/yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw==	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/_data_image/gif;base64,R0lGODlhAQABAIABAAAAAP/yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw==	(from https://www.mavlers.com/web-development-services/)
15:48:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Apr%202025%2010:20:35%20GMT	https://www.mavlers.com/web-development-services/%22%22	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/__	(from https://www.mavlers.com/web-development-services/)
15:48:02	149209/149209	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Apr%202025%2010:20:36%20GMT	https://www.mavlers.com/web-development-services/POST	C:/Users/Admin/Desktop/chiji%20technologies/www.mavlers.com/web-development-services/POST	(from https://www.mavlers.com/web-development-services/)
